text,label
"การวิจัยใหม่ในโรคมะเร็งนำเสนอความหวังให้กับหลายล้านคน",positive
"เรื่องอื้อฉาวทางการเมืองนำไปสู่การล้มลงของรัฐบาล",negative
"บริษัทเทคโนโลยีประกาศผลิตภัณฑ์ใหม่ที่นวัตกรรม",positive
"ภัยพิบัติทางธรรมชาตินำไปสู่การสูญเสียชีวิตอย่างน่าเศร้า",negative
"เศรษฐกิจเติบโตเร็วกว่าที่คาดไว้ในไตรมาสที่ผ่านมา",positive
"ข้อมูลรั่วไหลเผยแพร่ข้อมูลที่สำคัญของลูกค้าหลายพันคน",negative
"รัฐบาลประกาศโครงการช่วยเหลือใหม่เพื่อกระตุ้นเศรษฐกิจ",positive
"การปล่อยก๊าซเรือนกระจกเพิ่มขึ้นอย่างรวดเร็ว",negative
"นักวิทยาศาสตร์พบวิธีการรักษาโรคที่ร้ายแรงได้ผลดี",positive
"การประท้วงที่รุนแรงทำให้เกิดความไม่สงบในหลายพื้นที่",negative
